"CMOR Table Omon: Monthly Mean Ocean Fields, Including Biogechemical Fields",,,,,Omon,mon,,,,,,,,,,,,,
(All Saved on the Ocean Grid),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
In CMOR Table Omon: Marine Biogeochemical 2-D Fields,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency
2,Surface Concentration of (+name of tracer),mol XXX m-3,"surface concentrations of all 3D tracers. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.",,include Oyr 3D tracers,,,mol XXX m-3,time: mean area: mean where sea,,,,,,real,longitude latitude time,,ocnBgchem,
1,Primary Organic Carbon Production by All Types of Phytoplankton,mol C m-2 s-1,"Vertically integrated total primary (organic carbon) production by phytoplankton.  This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.",,intpp,,integrated_primary_production,mol C m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpp,ocnBgchem,
2,Primary Organic Carbon Production by Phytoplankton Based on NO3 Alone,mol C m-2 s-1,Vertically integrated primary (organic carbon) production by phytoplankton based on NO3 alone,,intpnew,,integrated_new_production,mol C m-2 s-1,time: mean arera: where sea,,,,,,real,longitude latitude time,intpnew,ocnBgchem,
2,Primary Organic Carbon Production by Diatom Phytoplankton,mol C m-2 s-1,Vertically integrated primary (organic carbon) production by the diatom phytoplankton component alone,,intpdiat,,integrated_diatom_phytoplankton_production,mol C m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpdiat,ocnBgchem,
3,Primary Organic Carbon Production by Other Phytoplankton,mol C m-2 s-1,Vertically integrated total primary (organic carbon) production by other phytoplankton components alone,,intpphymisc,,integrated_other_phytoplankton_production,mol C m-2 s-1,time: mean arera: where sea,,,,,,real,longitude latitude time,intpphymisc,ocnBgchem
3,Iron Production,mol Fe m-2 s-1,Vertically integrated biogenic iron production,,intpbfe,,integrated_iron_production,mol Fe m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpbfe,ocnBgchem
3,Silica Production,mol Si m-2 s-1,Vertically integrated biogenic silica production,,intpbsi,,integrated_silica_production,mol Si m-2 s-1,time: mean arera: where sea,,,,,,real,longitude latitude time,intpbsi,ocnBgchem
3,Calcite Production,mol C m-2 s-1,Vertically integrated calcite production,,intpcalc,,integrated_calcite_production,mol C m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpcalc,ocnBgchem
3,Aragonite Production,mol C m-2 s-1,Vertically integrated aragonite production,,intparag,,integrated_aragonite_production,mol C m-2 s-1,time: mean arera: where sea,,,,,,real,longitude latitude time,intparag,ocnBgchem
1,Downward Flux of Particle Organic Carbon at 100M,mol C m-2 s-1,sinking flux of organic carbon at 100m,,epc100,,sinking_particle_organic_carbon_export,mol C m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,epc100,ocnBgchem
3,Downward Flux of Particulate Iron at 100M,mol Fe m-2 s-1,sinking flux of biogenic and scavenged iron at 100m,,epfe100,,sinking_particulate_iron_export,mol Fe m-2 s-1,time: mean arera: where sea,,,,,,real,longitude latitude time,epfe100,ocnBgchem
3,Downward Flux of Particulate Silica at 100M,mol Si m-2 s-1,sinking flux of biogenic silica at 100m,,epsi100,,sinking_particulate_silica_export,mol Si m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,epsi100,ocnBgchem
